"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.717474167E-1,4.374440901E-2,-1.341965228E-2,-3.657959640E-2,5.858094622E-2
6.818324167E-1,-9.591114745E-3,-1.456903330E-2,-8.673525810E-2,8.847175375E-2
6.919184167E-1,-1.726302713E-2,-1.374051824E-2,-1.550681591E-2,2.696804196E-2
7.020034167E-1,1.638462916E-3,-8.553928323E-3,-4.189588487E-2,4.279158118E-2
7.120884167E-1,-1.857075691E-2,-3.158629350E-3,-2.018985093E-2,2.761304098E-2
7.221734167E-1,1.038026959E-3,6.312507838E-3,-1.470457792E-2,1.603589309E-2
7.322594167E-1,-1.839475572E-2,2.385590896E-3,-2.938810587E-2,3.475224955E-2
7.423444167E-1,-1.876101069E-2,6.926939426E-3,9.472489357E-5,1.999917460E-2
7.524294167E-1,-9.520655796E-3,1.507558376E-2,-6.881003380E-3,1.911188949E-2
7.625144167E-1,4.151157662E-3,5.210087275E-3,-2.229543328E-3,7.024811941E-3
7.726004167E-1,-9.548722431E-3,9.797265641E-3,-3.825190008E-2,4.062477537E-2
7.826854167E-1,-1.619707972E-2,6.145094745E-3,-6.172788620E-2,6.411270947E-2
7.927704167E-1,-2.332256980E-2,6.238539418E-3,-1.362284303E-2,2.772081327E-2
8.028564167E-1,-1.213933133E-2,3.737978786E-3,1.213180304E-2,1.756463764E-2
8.129414167E-1,-1.115180969E-2,-7.814547904E-3,-6.530170441E-3,1.510209073E-2
8.230264167E-1,-2.930690266E-2,-2.050022844E-2,4.360853434E-3,3.603013950E-2
8.331114167E-1,-1.068461716E-2,-1.631011371E-2,7.090333700E-3,2.074737779E-2
8.431974167E-1,-8.705188483E-3,-5.027936686E-2,-5.023927689E-3,5.127411518E-2
8.532824167E-1,3.243742883E-3,5.006532222E-3,-3.721811235E-2,3.769317073E-2
8.633674167E-1,4.248477258E-2,4.351856031E-2,-1.585414052E-2,6.285041578E-2
8.734524167E-1,3.068523757E-2,1.281274784E-2,-4.727298439E-2,5.779693214E-2
8.835384167E-1,1.363673016E-2,-1.338902749E-2,-5.198876381E-2,5.539005352E-2
8.936234167E-1,5.353272110E-3,-3.527175698E-2,-5.557193756E-2,6.603782709E-2
9.037084167E-1,-3.986931302E-2,-2.733818170E-2,5.999769509E-2,7.704973533E-2
9.137934167E-1,-7.353312224E-3,-1.174701970E-2,-2.923607826E-3,1.416372674E-2
9.238794167E-1,1.114676647E-2,7.974577745E-3,-8.278663337E-2,8.391347304E-2
9.339644167E-1,2.949540228E-2,7.311113600E-2,-7.379946291E-2,1.079887850E-1
9.440494167E-1,3.611934744E-2,1.012844097E-1,-3.787709355E-2,1.140079520E-1
9.541344167E-1,4.994274996E-2,9.655518170E-2,-4.888740063E-2,1.191937890E-1
9.642204167E-1,5.214334957E-2,1.049127167E-1,-7.860879779E-2,1.410849039E-1
9.743054167E-1,5.591641165E-2,9.595339358E-2,-2.423787832E-2,1.136713402E-1
9.843904167E-1,-8.430734798E-3,-2.283757981E-2,-3.397056878E-2,4.179272525E-2
9.944764167E-1,-4.200025767E-2,-3.549771532E-2,-2.249891639E-2,5.941641757E-2
1.004561417E0,-5.265476167E-2,-4.176585741E-2,1.812753797E-2,6.960975797E-2
1.014646417E0,-7.143141367E-2,-1.097953976E-1,1.351934731E-2,1.316823790E-1
1.024731417E0,-4.666370451E-2,-6.406790536E-2,-1.637161911E-2,8.093347718E-2
1.034817417E0,-4.856112599E-3,-6.800037716E-2,-4.242154956E-2,8.029458880E-2
1.044902417E0,2.237400524E-2,-8.517529406E-2,-3.573642790E-2,9.503956601E-2
1.054987417E0,-1.584522352E-2,-1.034936340E-1,-3.860156357E-2,1.115889067E-1
1.065072417E0,-1.236803055E-2,-6.908510875E-2,-2.114294708E-2,7.329900846E-2
1.075158417E0,2.163806006E-2,-2.214589074E-2,-2.566167533E-2,4.021402369E-2
1.085243417E0,-1.479038581E-2,8.439469077E-3,-2.227906108E-2,2.804169598E-2
1.095328417E0,2.366083123E-2,1.376463801E-1,-3.375831485E-2,1.436871069E-1
1.105413417E0,3.288612954E-2,2.909695838E-1,-1.940164626E-2,2.934641718E-1
1.115499417E0,3.786627620E-2,2.468877539E-1,-6.134080052E-2,2.571966402E-1
1.125584417E0,4.537088513E-2,1.325768441E-2,-1.025320959E-1,1.129031182E-1
1.135669417E0,-1.419850141E-2,-1.813837724E-1,-8.286089301E-3,1.821272347E-1
1.145754417E0,-3.007822350E-2,-8.746305373E-2,6.871589363E-2,1.152230851E-1
1.155840417E0,-4.467199668E-2,-1.292797088E-1,2.531259656E-2,1.391026885E-1
1.165925417E0,6.377558112E-3,-1.658841559E-1,-2.028223693E-2,1.672411300E-1
1.176010417E0,7.797773704E-3,-1.054513914E-1,-8.612363935E-3,1.060894624E-1
1.186095417E0,6.959575340E-3,-5.404095378E-2,2.498515248E-3,5.454450433E-2
1.196181417E0,2.562768839E-2,-6.237053175E-2,-4.095740676E-2,7.889468177E-2
1.206266417E0,3.667417511E-2,-2.512226969E-2,-6.062744021E-2,7.517852128E-2
1.216351417E0,4.502429143E-3,-2.199685983E-2,-4.883594513E-3,2.297788515E-2
1.226437417E0,-9.084307328E-3,-1.927136298E-2,-3.176909208E-2,3.825160497E-2
1.236522417E0,-4.417520262E-2,-1.442182850E-2,-5.906272531E-3,4.684358781E-2
1.246607417E0,-6.180653125E-3,-1.851213858E-2,-2.038631737E-2,2.822236141E-2
1.256692417E0,-1.821568474E-2,-1.530508697E-2,-3.491372466E-2,4.224955654E-2
1.266778417E0,2.767852619E-3,-2.432547692E-2,-4.452128470E-2,5.080880462E-2
1.276863417E0,-8.793846890E-3,-1.928587367E-2,-2.456415296E-3,2.133800934E-2
1.286948417E0,2.267827973E-2,-1.380728614E-2,-6.903456688E-2,7.396429508E-2
1.297033417E0,-2.216825634E-4,-1.160935660E-2,-4.095799148E-2,4.257209614E-2
1.307119417E0,-2.892939180E-2,-4.084355508E-3,-2.783917844E-2,4.035605935E-2
1.317204417E0,-3.014458939E-2,-9.256873280E-5,3.097854853E-3,3.030349061E-2
1.327289417E0,-4.671384439E-2,-2.652004659E-3,-1.702709198E-2,4.979094544E-2
1.337374417E0,-2.990054123E-2,-3.591654499E-3,1.168390632E-2,3.230256979E-2
1.347460417E0,-4.698310867E-2,4.278298058E-3,-1.915021598E-2,5.091607906E-2
1.357545417E0,-8.628297597E-3,-9.444239996E-3,-2.378121078E-2,2.700346598E-2
1.367630417E0,-3.479239494E-2,-2.069673143E-2,2.973309159E-3,4.059194507E-2
1.377715417E0,-1.811123885E-2,-1.301382126E-2,-2.119440258E-2,3.076652754E-2
1.387801417E0,1.535844281E-2,-1.161045067E-2,-4.920548916E-2,5.283809699E-2
1.397886417E0,-8.347338885E-3,-9.677726626E-3,-6.157527387E-2,6.288760459E-2
1.407971417E0,-2.951747552E-2,-1.365522198E-2,-7.413158476E-2,8.095207414E-2
1.418056417E0,-1.493605457E-2,-1.542565153E-2,-4.202861667E-2,4.719577386E-2
1.428142417E0,-2.427398488E-3,-9.563450105E-3,-4.429324329E-2,4.537888542E-2
1.438227417E0,5.677061677E-3,-2.393667363E-3,-2.700595021E-2,2.769981985E-2
1.448312417E0,2.211300015E-2,-3.980565146E-3,-2.857534289E-2,3.635078949E-2
1.458397417E0,4.433176182E-2,5.734727557E-3,-2.685976982E-2,5.215016243E-2
1.468483417E0,2.055201285E-2,3.003385775E-3,-5.706122339E-2,6.072387317E-2
1.478568417E0,2.054141477E-2,-6.136543192E-3,-4.530948937E-2,5.012540982E-2
1.488653417E0,1.228127249E-2,-5.087625794E-3,-5.290443778E-2,5.454899749E-2
1.498738417E0,-1.565687008E-2,-8.060130961E-3,-2.617681503E-2,3.154883416E-2
1.508824417E0,2.219603062E-3,-1.074425876E-2,-2.438639760E-2,2.674064550E-2
1.518909417E0,-2.566269860E-3,-2.201001607E-2,-1.157573283E-2,2.500048277E-2
1.528994417E0,-1.077261776E-2,-1.915292032E-2,-1.873447895E-3,2.205432967E-2
1.539079417E0,4.276945889E-3,-1.267800607E-2,-1.960571408E-2,2.373621976E-2
1.549165417E0,2.756735601E-2,-1.088536167E-2,-2.427880883E-2,3.831332371E-2
1.559250417E0,2.663333640E-3,-6.679566801E-3,-2.144758701E-3,7.503995509E-3
1.569335417E0,-1.995325796E-2,-1.425613531E-2,1.986065269E-2,3.155654326E-2
1.579420417E0,3.446275815E-3,-7.172197003E-3,1.101264596E-2,1.358659626E-2
1.589506417E0,4.427511692E-3,-5.773394555E-3,1.232826948E-2,1.431506804E-2
1.599591792E0,1.244199783E-2,-4.609104283E-3,-9.046812057E-3,1.605901493E-2
1.609676792E0,-1.981972218E-2,-8.776926510E-3,1.976300418E-2,2.933312395E-2
1.619761792E0,-1.557142764E-2,-7.103782296E-3,4.133806050E-2,4.474112568E-2
1.629847792E0,-1.198386848E-2,-6.624895334E-3,9.030439854E-3,1.640277982E-2
1.639932792E0,-8.048984706E-3,-2.039399184E-2,-6.428428888E-3,2.284788297E-2
1.650017792E0,-4.978904128E-4,-1.697147034E-2,-1.399297178E-2,2.200186264E-2
1.660102792E0,1.450029083E-2,-6.487853501E-3,-3.208250284E-2,3.579996740E-2
1.670187792E0,1.597152337E-2,-2.040027760E-2,-6.597062588E-2,7.087583766E-2
1.680273792E0,9.308621138E-3,-7.580513097E-3,-5.373766601E-2,5.506224981E-2
1.690358792E0,-2.536719494E-2,1.094011765E-3,-3.187375724E-2,4.075080173E-2
1.700443792E0,-2.254072398E-2,-1.058780920E-2,-4.231103718E-2,4.909592456E-2
1.710528792E0,-1.817818947E-2,8.277464658E-4,-6.183372080E-2,6.445572717E-2
1.720614792E0,4.427365512E-3,-2.976378947E-3,-3.083587646E-2,3.129395588E-2
1.730699792E0,6.963741481E-3,2.129446305E-3,-5.103098989E-2,5.154794046E-2
1.740784792E0,-5.664417073E-3,2.648932587E-3,-6.915151119E-2,6.943366593E-2
1.750869792E0,-1.100329041E-2,-4.986359328E-3,-3.923013926E-2,4.104802072E-2
1.760955792E0,-1.169530839E-2,-2.075432651E-3,-2.857008040E-2,3.094086542E-2
1.771040792E0,-9.618085027E-3,7.977034718E-2,-7.214879394E-3,8.067137245E-2
1.781125792E0,-5.666682869E-3,1.459865927E-1,-2.480973601E-3,1.461175957E-1
1.791210792E0,-4.303229123E-2,-1.007756289E-1,-4.441077232E-2,1.182362980E-1
1.801296792E0,-4.035053886E-2,-9.928027656E-2,8.946239948E-4,1.071706100E-1
1.811381792E0,-3.642932296E-2,-5.438177336E-2,2.427997828E-2,6.981396844E-2
1.821466792E0,-1.651114829E-2,-3.861197893E-2,-2.069037259E-2,4.681446841E-2
1.831551792E0,1.706027493E-2,-2.187611483E-2,-3.460265279E-2,4.435043360E-2
1.841636792E0,6.678689718E-3,2.086432725E-3,-7.966246605E-3,1.060279128E-2
1.851722792E0,2.598473400E-2,9.981529679E-2,-4.721626639E-3,1.032501508E-1
1.861807792E0,5.030359626E-2,1.973551862E-1,-1.864677072E-2,2.045170491E-1
1.871892792E0,2.557016641E-2,3.047838318E-4,-6.167526126E-2,6.676648976E-2
1.881977792E0,-4.229364172E-2,-2.652843004E-1,-4.702038467E-2,2.727185889E-1
1.892063792E0,-5.356502697E-2,-7.418771803E-2,4.468149841E-2,1.018305746E-1
1.902148792E0,-3.375319853E-2,3.249980903E-2,3.580542505E-2,5.897070850E-2
1.912233792E0,-3.677445486E-2,-2.787806243E-3,-2.846015275E-2,4.658446832E-2
1.922318792E0,8.110088110E-3,2.319224998E-3,-2.945710301E-2,3.064103869E-2
1.932404792E0,4.777452931E-2,5.124134347E-3,-6.703832746E-3,4.851395446E-2
1.942489792E0,6.624040179E-2,2.045969764E-2,-5.831135809E-2,9.059031151E-2
1.952574792E0,7.414832242E-2,1.509027260E-2,-8.791698039E-2,1.159960581E-1
1.962659792E0,2.979594916E-3,1.270895977E-2,-4.903358102E-2,5.074138066E-2
1.972745792E0,-5.865634382E-2,4.667803019E-2,-2.570026696E-2,7.924587620E-2
1.982830792E0,-9.286745243E-2,2.557352856E-3,-6.855392575E-2,1.154579772E-1
1.992915792E0,-8.111608386E-2,-9.200078543E-2,-4.365121901E-2,1.301898326E-1
2.003000792E0,-3.525776021E-2,-5.507123318E-2,1.053083539E-3,6.539923060E-2
2.013085792E0,2.751918957E-3,-3.121221788E-2,-1.344742656E-2,3.409705096E-2
2.023171792E0,3.853380896E-2,-3.718138453E-2,-5.597539544E-3,5.383904009E-2
2.033256792E0,7.834859669E-2,-3.004116905E-2,-6.929301381E-2,1.088232338E-1
2.043341792E0,8.245188028E-2,-1.957034071E-2,-6.042454183E-2,1.040789895E-1
2.053426792E0,5.637556426E-2,-1.636263130E-2,-9.444422722E-3,5.945701867E-2
2.063512792E0,1.623698696E-2,1.201865941E-2,-1.600382924E-2,2.577228104E-2
2.073597792E0,-2.665394783E-2,1.672464475E-2,6.314992905E-4,3.147293231E-2
2.083682792E0,-6.585119650E-2,2.459598374E-2,-6.965203285E-3,7.063891670E-2
2.093767792E0,-6.259071596E-2,2.063902672E-2,-3.235264421E-3,6.598510502E-2
2.103853792E0,-2.757693082E-2,1.636280945E-2,2.163703680E-2,3.868320059E-2
2.113938792E0,-2.765579514E-2,7.260777752E-3,3.084874034E-2,4.206193860E-2
2.124023792E0,-1.761334844E-2,-6.294185040E-4,-4.876577854E-4,1.763133634E-2
2.134108792E0,-6.607353687E-4,-1.160712507E-2,-4.980424404E-2,5.114317792E-2
2.144193792E0,7.328023016E-4,-2.613840614E-2,-8.220015764E-2,8.625902382E-2
2.154279792E0,2.831660360E-3,-3.297595739E-2,-9.376653492E-2,9.943638740E-2
2.164364792E0,1.407929130E-2,-2.653769787E-2,-7.200027466E-2,7.801612271E-2
2.174449792E0,-1.133395046E-2,-2.829222802E-2,-8.058515668E-2,8.615611456E-2
2.184534792E0,-1.653665677E-2,-2.249372698E-2,-5.720448017E-2,6.365360416E-2
2.194620792E0,-1.130836889E-2,-2.248857641E-2,-3.483244836E-2,4.297574589E-2
2.204705792E0,-3.568336442E-3,-1.650117148E-2,-2.587100565E-2,3.089224205E-2
2.214790792E0,5.954438969E-3,-1.145736326E-2,-9.975934625E-3,1.631703980E-2
2.224875792E0,4.763141870E-3,-1.524478756E-3,-3.141708970E-2,3.181265599E-2
2.234960792E0,1.186034605E-2,5.439335816E-3,-4.240751624E-2,4.436948970E-2
2.245046792E0,9.753594249E-3,5.723510496E-3,-2.029977858E-2,2.323730156E-2
2.255131792E0,8.421452343E-4,7.705680057E-3,-2.950621963E-2,3.050743697E-2
2.265216792E0,1.391206093E-2,7.852993347E-3,-4.569014311E-2,4.840252185E-2
2.275301792E0,2.637620509E-2,1.531692758E-2,-3.990315378E-2,5.022523416E-2
2.285387792E0,1.686600119E-2,1.069912557E-2,-1.869998038E-2,2.736096764E-2
2.295472792E0,1.041272163E-2,-9.309132770E-4,2.035825074E-2,2.288557940E-2
2.305557792E0,1.243096121E-2,-7.667711985E-3,1.825676143E-2,2.338016128E-2
2.315642792E0,2.079708427E-3,-9.771793708E-4,-4.401199222E-3,4.964939199E-3
2.325727792E0,-1.648593217E-2,-1.113879964E-2,-2.578095853E-2,3.256557446E-2
2.335813792E0,-1.749896228E-2,-2.175971869E-2,-7.172779441E-3,2.882963412E-2
2.345898792E0,-3.996688843E-2,-1.966002010E-2,-6.454156637E-3,4.500582961E-2
2.355983792E0,-2.388733774E-2,-2.415130299E-2,-3.791334629E-2,5.090493264E-2
2.366068792E0,-5.141164362E-3,-1.943559665E-2,-3.093294024E-2,3.689201513E-2
2.376154792E0,6.468628496E-3,-2.149820197E-2,-3.834837914E-2,4.443662932E-2
2.386239792E0,-7.485240027E-3,-1.524438556E-2,-6.586829960E-2,6.802244484E-2
2.396324792E0,1.446133375E-2,-9.771537893E-3,-6.569229841E-2,6.797125273E-2
2.406409792E0,1.052060276E-2,-4.963737912E-3,-6.145248234E-2,6.254381954E-2
2.416494792E0,-7.876930386E-4,-8.374567267E-3,-6.119578958E-2,6.177117855E-2
2.426580792E0,-1.618099988E-2,-2.082887851E-3,-9.507455707E-2,9.646416215E-2
2.436665792E0,-6.977482438E-3,7.981559001E-3,-5.287052393E-2,5.392293432E-2
2.446750792E0,1.566542163E-3,6.569346786E-3,-5.401716292E-2,5.443770992E-2
2.456835792E0,-1.278449848E-2,8.051250502E-3,-4.977559268E-2,5.201803210E-2
2.466921792E0,1.652744740E-2,2.894115932E-3,-5.005333543E-2,5.279080234E-2
2.477006792E0,-8.652271181E-3,-3.505369239E-3,-2.994066775E-2,3.136228619E-2
2.487091792E0,-1.781851262E-2,-1.350416739E-3,-1.941860318E-2,2.638948970E-2
2.497176792E0,2.615021020E-3,-9.703125469E-3,-8.358594775E-3,1.307115471E-2
2.507261792E0,-8.045330197E-3,-4.518255454E-3,9.573646188E-3,1.329649095E-2
2.517347792E0,-1.496799499E-2,-6.674925573E-3,1.702943087E-2,2.363465720E-2
2.527432792E0,-3.268710494E-2,-8.351029940E-3,-6.531339884E-3,3.436342432E-2
2.537517792E0,-2.295763046E-2,-6.714832820E-3,-6.625480056E-3,2.482012816E-2
2.547602792E0,-1.048069552E-2,-1.156751018E-2,-1.462388635E-2,2.138949093E-2
2.557688792E0,-3.218731418E-2,-1.930264787E-2,-1.124185681E-2,3.917900910E-2
2.567773792E0,-2.723530725E-2,-2.212882418E-2,-1.317494631E-2,3.748367686E-2
2.577858792E0,-4.330521002E-3,-1.095976749E-2,7.707799673E-3,1.408119637E-2
2.587943792E0,-5.714776218E-3,-1.957874380E-2,-1.869705677E-2,2.766885990E-2
2.598028792E0,-1.208831437E-2,-1.541823288E-2,-4.016978681E-2,4.469296390E-2
2.608114417E0,-2.121808380E-4,-1.681546160E-2,-1.520626903E-2,2.267234852E-2
2.618199417E0,-1.068966039E-2,-1.390654491E-2,-2.072428644E-2,2.715063312E-2
2.628284417E0,-2.330736704E-2,-7.949401599E-3,-5.347161770E-2,5.886968866E-2
2.638369417E0,-4.931980222E-3,-1.999786582E-3,-4.952533185E-2,4.981046146E-2
2.648455417E0,-9.442522377E-4,-3.100705370E-3,-3.327124178E-2,3.342875283E-2
2.658540417E0,-1.414397612E-2,1.221629530E-2,-3.959091246E-2,4.378047831E-2
2.668625417E0,-1.502997547E-2,6.927013658E-3,-1.806087971E-2,2.449651111E-2
2.678710417E0,-2.252040491E-2,1.039463181E-2,-8.065649271E-3,2.608201882E-2
2.688796417E0,-5.455671474E-3,1.259380388E-2,-2.087572932E-2,2.498328085E-2
